State,Account_Length,Area_Code,Intl_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,Intl_Calls,Intl_Charge,CustServ_Calls,Latitude,Longitude,Name,Churn
CT,106,510,0,1,33,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,1,41.60322100000001,-73.087749,Connecticut,0
MT,130,408,0,1,19,152.9,87,25.99,213.2,99,18.12,205.3,114,9.24,10.8,6,2.92,2,46.879682,-110.362566,Montana,0
DE,117,415,0,0,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,38.910832,-75.52767,Delaware,0
KS,110,415,1,0,0,293.3,79,49.86,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,39.011902,-98.484246,Kansas,1
OR,161,415,0,0,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,43.804133,-120.554201,Oregon,0
HI,166,408,0,0,0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,6,3.13,1,19.898682,-155.66585700000005,Hawaii,0
IA,123,415,0,0,0,204.4,88,34.75,137.5,111,11.69,226.0,100,10.17,10.0,4,2.7,0,41.878003,-93.097702,Iowa,0
ID,85,408,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,44.068202,-114.742041,Idaho,0
WV,75,415,0,0,0,111.7,121,18.99,237.3,119,20.17,253.5,110,11.41,13.1,6,3.54,1,38.597626,-80.454903,West Virginia,0
PA,61,408,0,1,31,288.7,101,49.08,203.8,102,17.32,203.2,49,9.14,8.6,3,2.32,0,41.203322,-77.194525,Pennsylvania,0
HI,171,510,0,0,0,189.8,122,32.27,173.7,85,14.76,257.1,84,11.57,10.3,1,2.78,0,19.898682,-155.66585700000005,Hawaii,0
OH,39,415,0,1,36,141.7,121,24.09,232.3,113,19.75,222.1,131,9.99,12.0,5,3.24,1,40.417287,-82.907123,Ohio,0
NV,64,408,0,0,0,148.1,73,25.18,164.9,101,14.02,216.0,125,9.72,12.3,2,3.32,5,38.80261,-116.419389,Nevada,1
WY,94,510,0,0,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,43.075968,-107.290284,Wyoming,1
KS,116,510,0,0,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,39.011902,-98.484246,Kansas,0
HI,148,510,1,0,0,218.9,88,37.21,208.0,85,17.68,203.3,99,9.15,11.1,4,3.0,0,19.898682,-155.66585700000005,Hawaii,0
ME,113,415,0,0,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,45.253783,-69.44546899999999,Maine,0
NE,90,415,0,0,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,41.492537,-99.901813,Nebraska,0
FL,106,408,0,1,32,165.9,126,28.2,216.5,93,18.4,173.1,86,7.79,14.1,8,3.81,4,27.664827,-81.515754,Florida,0
OR,129,408,0,0,0,98.0,99,16.66,240.7,62,20.46,254.8,123,11.47,10.5,4,2.84,0,43.804133,-120.554201,Oregon,0
NC,165,415,0,0,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,35.759573,-79.0193,North Carolina,0
NM,94,415,0,0,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,34.97273,-105.032363,New Mexico,0
ND,105,415,0,1,23,193.5,85,32.9,220.2,90,18.72,272.4,111,12.26,8.5,5,2.3,0,47.551493,-101.002012,North Dakota,0
UT,133,408,0,1,44,174.0,80,29.58,209.4,113,17.8,224.1,87,10.08,14.1,7,3.81,2,39.32098,-111.093731,Utah,1
NE,139,415,0,1,25,138.3,96,23.51,80.6,79,6.85,163.7,83,7.37,8.3,8,2.24,0,41.492537,-99.901813,Nebraska,0
NY,122,510,0,0,0,145.6,102,24.75,284.7,111,24.2,228.2,91,10.27,12.2,5,3.29,0,43.299428000000006,-74.217933,New York,0
OR,149,415,0,0,0,242.5,83,41.23,245.4,97,20.86,219.6,80,9.88,10.0,3,2.7,3,43.804133,-120.554201,Oregon,1
FL,148,510,1,0,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2,27.664827,-81.515754,Florida,0
CO,83,510,0,0,0,132.4,120,22.51,121.6,101,10.34,197.7,84,8.9,8.6,2,2.32,1,39.550051,-105.782067,Colorado,0
NY,142,415,0,0,0,145.4,93,24.72,209.1,98,17.77,214.0,96,9.63,10.9,1,2.94,1,43.299428000000006,-74.217933,New York,0
OH,100,510,0,0,0,278.0,76,47.26,176.7,74,15.02,219.5,126,9.88,8.3,4,2.24,0,40.417287,-82.907123,Ohio,1
IL,151,415,1,0,0,198.7,70,33.78,209.5,106,17.81,281.9,126,12.69,12.4,4,3.35,0,40.633125,-89.398528,Illinois,0
NC,74,415,0,0,0,102.7,89,17.46,149.3,100,12.69,188.1,114,8.46,11.0,5,2.97,0,35.759573,-79.0193,North Carolina,0
WI,92,415,1,0,0,264.3,91,44.93,160.9,115,13.68,198.6,73,8.94,9.3,5,2.51,0,43.78444,-88.787868,Wisconsin,0
WA,104,415,0,0,0,139.7,78,23.75,202.6,119,17.22,203.6,102,9.16,11.3,5,3.05,2,47.751074,-120.740139,Washington,0
NY,44,510,0,0,0,143.2,77,24.34,169.8,114,14.43,215.8,77,9.71,7.6,4,2.05,1,43.299428000000006,-74.217933,New York,0
CT,95,415,0,0,0,198.4,113,33.73,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73,0,41.60322100000001,-73.087749,Connecticut,0
SD,78,415,0,1,25,197.4,73,33.56,295.7,113,25.13,211.7,73,9.53,13.2,2,3.56,0,43.969515,-99.901813,South Dakota,0
SD,149,408,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,43.969515,-99.901813,South Dakota,0
OK,117,415,0,1,31,104.9,115,17.83,237.6,125,20.2,263.4,104,11.85,7.7,6,2.08,3,35.007752,-97.092877,Oklahoma,0
AR,115,408,0,0,0,268.0,115,45.56,153.6,106,13.06,232.3,65,10.45,17.0,1,4.59,3,35.20105,-91.831833,Arkansas,0
MT,34,415,0,1,14,151.5,100,25.76,248.7,126,21.14,199.8,120,8.99,10.7,5,2.89,2,46.879682,-110.362566,Montana,0
NE,44,415,0,0,0,240.3,146,40.85,164.6,83,13.99,240.7,106,10.83,10.6,2,2.86,1,41.492537,-99.901813,Nebraska,0
WI,143,510,0,0,0,194.3,99,33.03,123.6,133,10.51,229.5,99,10.33,10.2,2,2.75,2,43.78444,-88.787868,Wisconsin,0
